,school_name,type,math_score,reading_score
267,Huang High School,District,81,70
268,Huang High School,District,91,74
269,Huang High School,District,68,86
270,Huang High School,District,99,78
271,Huang High School,District,75,93
272,Huang High School,District,58,73
273,Huang High School,District,64,82
274,Huang High School,District,76,98
275,Huang High School,District,89,86
276,Huang High School,District,98,78
277,Huang High School,District,74,67
278,Huang High School,District,99,80
279,Huang High School,District,68,63
280,Huang High School,District,72,92
281,Huang High School,District,78,67
282,Huang High School,District,82,73
283,Huang High School,District,56,77
284,Huang High School,District,64,92
285,Huang High School,District,59,66
286,Huang High School,District,73,73
287,Huang High School,District,69,71
288,Huang High School,District,67,63
289,Huang High School,District,64,82
290,Huang High School,District,60,80
291,Huang High School,District,79,89
292,Huang High School,District,69,91
293,Huang High School,District,72,81
294,Huang High School,District,87,67
295,Huang High School,District,73,92
296,Huang High School,District,81,72
297,Huang High School,District,78,75
298,Huang High School,District,63,64
299,Huang High School,District,94,96
300,Huang High School,District,98,89
301,Huang High School,District,61,92
302,Huang High School,District,97,74
303,Huang High School,District,55,68
304,Huang High School,District,89,91
305,Huang High School,District,94,99
306,Huang High School,District,95,95
307,Huang High School,District,59,68
308,Huang High School,District,57,98
309,Huang High School,District,66,77
310,Huang High School,District,95,64
311,Huang High School,District,82,85
312,Huang High School,District,91,81
313,Huang High School,District,63,86
314,Huang High School,District,66,92
315,Huang High School,District,84,67
316,Huang High School,District,87,68
317,Huang High School,District,79,77
318,Huang High School,District,72,72
319,Huang High School,District,59,74
320,Huang High School,District,94,91
321,Huang High School,District,66,84
322,Huang High School,District,90,98
323,Huang High School,District,60,91
324,Huang High School,District,87,89
325,Huang High School,District,94,96
326,Huang High School,District,81,66
327,Huang High School,District,85,78
328,Huang High School,District,57,76
329,Huang High School,District,97,77
330,Huang High School,District,77,73
331,Huang High School,District,66,93
332,Huang High School,District,66,98
333,Huang High School,District,90,76
334,Huang High School,District,86,85
335,Huang High School,District,93,93
336,Huang High School,District,91,64
337,Huang High School,District,70,77
338,Huang High School,District,76,98
339,Huang High School,District,81,66
340,Huang High School,District,77,78
341,Huang High School,District,58,72
342,Huang High School,District,91,90
343,Huang High School,District,87,90
344,Huang High School,District,78,99
345,Huang High School,District,80,69
346,Huang High School,District,94,80
347,Huang High School,District,91,66
348,Huang High School,District,92,70
349,Huang High School,District,63,89
350,Huang High School,District,98,78
351,Huang High School,District,68,65
352,Huang High School,District,69,98
353,Huang High School,District,56,73
354,Huang High School,District,60,89
355,Huang High School,District,91,85
356,Huang High School,District,97,92
357,Huang High School,District,62,83
358,Huang High School,District,75,82
359,Huang High School,District,62,94
360,Huang High School,District,61,79
361,Huang High School,District,66,85
362,Huang High School,District,56,65
363,Huang High School,District,72,79
364,Huang High School,District,56,88
365,Huang High School,District,58,93
366,Huang High School,District,58,91
367,Huang High School,District,61,78
368,Huang High School,District,78,78
369,Huang High School,District,82,69
370,Huang High School,District,95,84
371,Huang High School,District,55,68
372,Huang High School,District,92,95
373,Huang High School,District,97,65
374,Huang High School,District,97,75
375,Huang High School,District,98,68
376,Huang High School,District,74,71
377,Huang High School,District,57,84
378,Huang High School,District,63,97
379,Huang High School,District,68,96
380,Huang High School,District,75,75
381,Huang High School,District,95,66
382,Huang High School,District,70,87
383,Huang High School,District,65,70
384,Huang High School,District,55,84
385,Huang High School,District,77,98
386,Huang High School,District,57,69
387,Huang High School,District,85,70
388,Huang High School,District,88,90
389,Huang High School,District,72,85
390,Huang High School,District,88,81
391,Huang High School,District,83,86
392,Huang High School,District,90,99
393,Huang High School,District,71,65
394,Huang High School,District,55,97
395,Huang High School,District,62,91
396,Huang High School,District,82,75
397,Huang High School,District,72,78
398,Huang High School,District,56,77
399,Huang High School,District,69,72
400,Huang High School,District,65,93
401,Huang High School,District,91,63
402,Huang High School,District,66,94
403,Huang High School,District,59,67
404,Huang High School,District,97,88
405,Huang High School,District,93,92
406,Huang High School,District,63,63
407,Huang High School,District,56,71
408,Huang High School,District,80,99
409,Huang High School,District,76,68
410,Huang High School,District,82,74
411,Huang High School,District,98,93
412,Huang High School,District,94,69
413,Huang High School,District,72,86
414,Huang High School,District,82,93
415,Huang High School,District,99,88
416,Huang High School,District,80,86
417,Huang High School,District,84,97
418,Huang High School,District,58,84
419,Huang High School,District,64,84
420,Huang High School,District,74,81
421,Huang High School,District,79,67
422,Huang High School,District,81,85
423,Huang High School,District,58,65
424,Huang High School,District,81,63
425,Huang High School,District,59,91
426,Huang High School,District,68,75
427,Huang High School,District,68,74
428,Huang High School,District,70,77
429,Huang High School,District,98,69
430,Huang High School,District,95,69
431,Huang High School,District,57,78
432,Huang High School,District,87,77
433,Huang High School,District,92,65
434,Huang High School,District,67,68
435,Huang High School,District,75,76
436,Huang High School,District,72,92
437,Huang High School,District,59,90
438,Huang High School,District,78,75
439,Huang High School,District,72,73
440,Huang High School,District,56,83
441,Huang High School,District,61,86
442,Huang High School,District,61,97
443,Huang High School,District,57,70
444,Huang High School,District,66,67
445,Huang High School,District,65,63
446,Huang High School,District,79,85
447,Huang High School,District,92,69
448,Huang High School,District,71,77
449,Huang High School,District,60,96
450,Huang High School,District,84,64
451,Huang High School,District,59,81
452,Huang High School,District,60,88
453,Huang High School,District,58,94
454,Huang High School,District,95,83
455,Huang High School,District,61,83
456,Huang High School,District,83,89
457,Huang High School,District,63,94
458,Huang High School,District,68,84
459,Huang High School,District,68,92
460,Huang High School,District,63,67
461,Huang High School,District,92,92
462,Huang High School,District,77,93
463,Huang High School,District,77,88
464,Huang High School,District,79,98
465,Huang High School,District,89,81
466,Huang High School,District,92,86
467,Huang High School,District,61,81
468,Huang High School,District,92,63
469,Huang High School,District,94,99
470,Huang High School,District,62,67
471,Huang High School,District,74,95
472,Huang High School,District,64,82
473,Huang High School,District,58,64
474,Huang High School,District,95,89
475,Huang High School,District,58,82
476,Huang High School,District,89,72
477,Huang High School,District,75,79
478,Huang High School,District,61,90
479,Huang High School,District,73,92
480,Huang High School,District,96,69
481,Huang High School,District,86,97
482,Huang High School,District,56,65
483,Huang High School,District,89,68
484,Huang High School,District,99,67
485,Huang High School,District,96,73
486,Huang High School,District,81,86
487,Huang High School,District,67,83
488,Huang High School,District,81,67
489,Huang High School,District,65,88
490,Huang High School,District,66,92
491,Huang High School,District,78,95
492,Huang High School,District,79,71
493,Huang High School,District,79,95
494,Huang High School,District,65,74
495,Huang High School,District,71,99
496,Huang High School,District,72,70
497,Huang High School,District,98,74
498,Huang High School,District,80,73
499,Huang High School,District,79,97
500,Huang High School,District,90,86
501,Huang High School,District,70,64
502,Huang High School,District,89,71
503,Huang High School,District,84,78
504,Huang High School,District,94,93
505,Huang High School,District,78,96
506,Huang High School,District,74,85
507,Huang High School,District,89,72
508,Huang High School,District,84,63
509,Huang High School,District,90,90
510,Huang High School,District,58,76
511,Huang High School,District,97,96
512,Huang High School,District,58,81
513,Huang High School,District,70,89
514,Huang High School,District,66,93
515,Huang High School,District,74,80
516,Huang High School,District,61,89
517,Huang High School,District,78,84
518,Huang High School,District,84,97
519,Huang High School,District,69,90
520,Huang High School,District,72,88
521,Huang High School,District,76,82
522,Huang High School,District,94,96
523,Huang High School,District,87,72
524,Huang High School,District,92,76
525,Huang High School,District,91,93
526,Huang High School,District,85,89
527,Huang High School,District,68,79
528,Huang High School,District,88,68
529,Huang High School,District,90,63
530,Huang High School,District,94,89
531,Huang High School,District,79,72
532,Huang High School,District,93,93
533,Huang High School,District,72,66
534,Huang High School,District,63,64
535,Huang High School,District,56,81
536,Huang High School,District,83,99
537,Huang High School,District,69,63
538,Huang High School,District,63,96
539,Huang High School,District,81,90
540,Huang High School,District,98,95
541,Huang High School,District,98,76
542,Huang High School,District,69,86
543,Huang High School,District,94,80
544,Huang High School,District,65,72
545,Huang High School,District,78,63
546,Huang High School,District,80,86
547,Huang High School,District,95,74
548,Huang High School,District,85,64
549,Huang High School,District,94,97
550,Huang High School,District,86,96
551,Huang High School,District,95,73
552,Huang High School,District,87,73
553,Huang High School,District,58,72
554,Huang High School,District,55,67
555,Huang High School,District,55,64
556,Huang High School,District,82,88
557,Huang High School,District,60,92
558,Huang High School,District,77,96
559,Huang High School,District,60,73
560,Huang High School,District,65,79
561,Huang High School,District,91,84
562,Huang High School,District,88,96
563,Huang High School,District,68,74
564,Huang High School,District,92,94
565,Huang High School,District,70,79
566,Huang High School,District,79,77
567,Huang High School,District,87,91
568,Huang High School,District,74,81
569,Huang High School,District,66,76
570,Huang High School,District,69,89
571,Huang High School,District,56,77
572,Huang High School,District,56,77
573,Huang High School,District,73,91
574,Huang High School,District,96,93
575,Huang High School,District,87,72
576,Huang High School,District,90,91
577,Huang High School,District,62,79
578,Huang High School,District,86,85
579,Huang High School,District,78,71
580,Huang High School,District,89,80
581,Huang High School,District,83,83
582,Huang High School,District,94,72
583,Huang High School,District,81,77
584,Huang High School,District,73,85
585,Huang High School,District,73,73
586,Huang High School,District,76,96
587,Huang High School,District,97,78
588,Huang High School,District,74,90
589,Huang High School,District,66,83
590,Huang High School,District,75,92
591,Huang High School,District,68,93
592,Huang High School,District,86,73
593,Huang High School,District,93,63
594,Huang High School,District,87,79
595,Huang High School,District,56,93
596,Huang High School,District,92,69
597,Huang High School,District,90,85
598,Huang High School,District,81,77
599,Huang High School,District,59,77
600,Huang High School,District,72,91
601,Huang High School,District,74,74
602,Huang High School,District,81,69
603,Huang High School,District,61,75
604,Huang High School,District,85,91
605,Huang High School,District,80,96
606,Huang High School,District,96,78
607,Huang High School,District,57,82
608,Huang High School,District,60,65
609,Huang High School,District,71,70
610,Huang High School,District,92,78
611,Huang High School,District,85,71
612,Huang High School,District,95,86
613,Huang High School,District,72,96
614,Huang High School,District,67,82
615,Huang High School,District,85,72
616,Huang High School,District,71,94
617,Huang High School,District,72,82
618,Huang High School,District,76,75
619,Huang High School,District,75,87
620,Huang High School,District,93,72
621,Huang High School,District,96,79
622,Huang High School,District,68,70
623,Huang High School,District,91,68
624,Huang High School,District,97,90
625,Huang High School,District,79,78
626,Huang High School,District,78,63
627,Huang High School,District,78,82
628,Huang High School,District,82,96
629,Huang High School,District,66,75
630,Huang High School,District,93,63
631,Huang High School,District,57,73
632,Huang High School,District,62,79
633,Huang High School,District,80,82
634,Huang High School,District,72,86
635,Huang High School,District,58,76
636,Huang High School,District,84,86
637,Huang High School,District,88,95
638,Huang High School,District,74,93
639,Huang High School,District,61,87
640,Huang High School,District,75,92
641,Huang High School,District,73,88
642,Huang High School,District,71,65
643,Huang High School,District,84,91
644,Huang High School,District,61,81
645,Huang High School,District,98,72
646,Huang High School,District,93,87
647,Huang High School,District,98,70
648,Huang High School,District,86,73
649,Huang High School,District,55,87
650,Huang High School,District,57,65
651,Huang High School,District,97,73
652,Huang High School,District,66,88
653,Huang High School,District,70,65
654,Huang High School,District,96,72
655,Huang High School,District,94,92
656,Huang High School,District,87,94
657,Huang High School,District,68,74
658,Huang High School,District,71,66
659,Huang High School,District,55,93
660,Huang High School,District,81,95
661,Huang High School,District,97,92
662,Huang High School,District,76,90
663,Huang High School,District,58,84
664,Huang High School,District,67,81
665,Huang High School,District,97,86
666,Huang High School,District,81,97
667,Huang High School,District,91,69
668,Huang High School,District,89,75
669,Huang High School,District,55,90
670,Huang High School,District,83,94
671,Huang High School,District,59,92
672,Huang High School,District,80,81
673,Huang High School,District,64,76
674,Huang High School,District,98,87
675,Huang High School,District,78,98
676,Huang High School,District,80,86
677,Huang High School,District,99,75
678,Huang High School,District,77,74
679,Huang High School,District,98,95
680,Huang High School,District,93,76
681,Huang High School,District,85,98
682,Huang High School,District,73,77
683,Huang High School,District,88,72
684,Huang High School,District,78,81
685,Huang High School,District,77,69
686,Huang High School,District,67,74
687,Huang High School,District,92,84
688,Huang High School,District,61,82
689,Huang High School,District,68,76
690,Huang High School,District,68,75
691,Huang High School,District,94,71
692,Huang High School,District,87,88
693,Huang High School,District,90,75
694,Huang High School,District,73,98
695,Huang High School,District,95,93
696,Huang High School,District,90,77
697,Huang High School,District,57,67
698,Huang High School,District,86,89
699,Huang High School,District,95,95
700,Huang High School,District,99,83
701,Huang High School,District,63,94
702,Huang High School,District,65,84
703,Huang High School,District,64,87
704,Huang High School,District,87,93
705,Huang High School,District,99,80
706,Huang High School,District,84,81
707,Huang High School,District,99,72
708,Huang High School,District,69,64
709,Huang High School,District,95,92
710,Huang High School,District,56,96
711,Huang High School,District,85,89
712,Huang High School,District,58,63
713,Huang High School,District,73,69
714,Huang High School,District,74,83
715,Huang High School,District,71,63
716,Huang High School,District,57,97
717,Huang High School,District,83,85
718,Huang High School,District,76,97
719,Huang High School,District,56,70
720,Huang High School,District,96,96
721,Huang High School,District,73,72
722,Huang High School,District,59,93
723,Huang High School,District,58,82
724,Huang High School,District,64,73
725,Huang High School,District,63,84
726,Huang High School,District,99,78
727,Huang High School,District,83,95
728,Huang High School,District,57,80
729,Huang High School,District,62,84
730,Huang High School,District,67,79
731,Huang High School,District,79,98
732,Huang High School,District,60,79
733,Huang High School,District,92,93
734,Huang High School,District,93,92
735,Huang High School,District,91,72
736,Huang High School,District,78,92
737,Huang High School,District,58,78
738,Huang High School,District,61,71
739,Huang High School,District,79,92
740,Huang High School,District,88,63
741,Huang High School,District,94,96
742,Huang High School,District,55,70
743,Huang High School,District,96,92
744,Huang High School,District,90,88
745,Huang High School,District,91,66
746,Huang High School,District,92,92
747,Huang High School,District,75,69
748,Huang High School,District,86,70
749,Huang High School,District,80,81
750,Huang High School,District,56,77
751,Huang High School,District,55,99
752,Huang High School,District,95,63
753,Huang High School,District,97,66
754,Huang High School,District,55,69
755,Huang High School,District,68,69
756,Huang High School,District,55,74
757,Huang High School,District,61,88
758,Huang High School,District,72,86
759,Huang High School,District,81,84
760,Huang High School,District,80,74
761,Huang High School,District,83,98
762,Huang High School,District,71,87
763,Huang High School,District,73,79
764,Huang High School,District,83,80
765,Huang High School,District,60,98
766,Huang High School,District,96,93
767,Huang High School,District,81,78
768,Huang High School,District,61,81
769,Huang High School,District,60,83
770,Huang High School,District,90,99
771,Huang High School,District,91,66
772,Huang High School,District,60,96
773,Huang High School,District,81,66
774,Huang High School,District,79,76
775,Huang High School,District,82,76
776,Huang High School,District,65,85
777,Huang High School,District,65,64
778,Huang High School,District,90,98
779,Huang High School,District,77,90
780,Huang High School,District,65,75
781,Huang High School,District,94,84
782,Huang High School,District,55,91
783,Huang High School,District,98,96
784,Huang High School,District,87,98
785,Huang High School,District,69,85
786,Huang High School,District,93,88
787,Huang High School,District,72,82
788,Huang High School,District,63,82
789,Huang High School,District,74,94
790,Huang High School,District,60,99
791,Huang High School,District,70,88
792,Huang High School,District,89,99
793,Huang High School,District,65,94
794,Huang High School,District,69,68
795,Huang High School,District,66,93
796,Huang High School,District,67,83
797,Huang High School,District,93,75
798,Huang High School,District,56,85
799,Huang High School,District,67,91
800,Huang High School,District,92,74
801,Huang High School,District,66,98
802,Huang High School,District,62,75
803,Huang High School,District,62,86
804,Huang High School,District,59,85
805,Huang High School,District,65,94
806,Huang High School,District,84,93
807,Huang High School,District,68,84
808,Huang High School,District,99,78
809,Huang High School,District,62,75
810,Huang High School,District,92,76
811,Huang High School,District,89,86
812,Huang High School,District,70,73
813,Huang High School,District,94,65
814,Huang High School,District,85,89
815,Huang High School,District,66,83
816,Huang High School,District,81,94
817,Huang High School,District,58,67
818,Huang High School,District,97,76
819,Huang High School,District,84,91
820,Huang High School,District,57,66
821,Huang High School,District,74,67
822,Huang High School,District,92,84
823,Huang High School,District,87,67
824,Huang High School,District,76,83
825,Huang High School,District,93,79
826,Huang High School,District,85,83
827,Huang High School,District,73,83
828,Huang High School,District,78,86
829,Huang High School,District,93,97
830,Huang High School,District,77,97
831,Huang High School,District,68,67
832,Huang High School,District,96,96
833,Huang High School,District,55,74
834,Huang High School,District,92,69
835,Huang High School,District,58,97
836,Huang High School,District,89,67
837,Huang High School,District,75,69
838,Huang High School,District,99,91
839,Huang High School,District,62,85
840,Huang High School,District,79,71
841,Huang High School,District,94,77
842,Huang High School,District,87,77
843,Huang High School,District,83,69
844,Huang High School,District,56,87
845,Huang High School,District,94,98
846,Huang High School,District,69,73
847,Huang High School,District,61,95
848,Huang High School,District,74,68
849,Huang High School,District,93,73
850,Huang High School,District,64,87
851,Huang High School,District,63,72
852,Huang High School,District,70,85
853,Huang High School,District,55,95
854,Huang High School,District,84,90
855,Huang High School,District,67,73
856,Huang High School,District,62,78
857,Huang High School,District,90,67
858,Huang High School,District,81,95
859,Huang High School,District,94,68
860,Huang High School,District,64,72
861,Huang High School,District,55,86
862,Huang High School,District,69,73
863,Huang High School,District,74,82
864,Huang High School,District,93,76
865,Huang High School,District,76,99
866,Huang High School,District,96,85
867,Huang High School,District,84,63
868,Huang High School,District,80,82
869,Huang High School,District,69,90
870,Huang High School,District,92,65
871,Huang High School,District,98,72
872,Huang High School,District,85,99
873,Huang High School,District,65,71
874,Huang High School,District,59,97
875,Huang High School,District,60,64
876,Huang High School,District,99,71
877,Huang High School,District,92,78
878,Huang High School,District,90,87
879,Huang High School,District,74,67
880,Huang High School,District,96,90
881,Huang High School,District,55,82
882,Huang High School,District,77,84
883,Huang High School,District,71,63
884,Huang High School,District,89,78
885,Huang High School,District,62,82
886,Huang High School,District,63,87
887,Huang High School,District,85,70
888,Huang High School,District,56,87
889,Huang High School,District,83,68
890,Huang High School,District,90,74
891,Huang High School,District,80,87
892,Huang High School,District,66,87
893,Huang High School,District,74,77
894,Huang High School,District,88,66
895,Huang High School,District,71,81
896,Huang High School,District,55,85
897,Huang High School,District,89,63
898,Huang High School,District,97,86
899,Huang High School,District,70,83
900,Huang High School,District,83,83
901,Huang High School,District,74,92
902,Huang High School,District,88,83
903,Huang High School,District,84,87
904,Huang High School,District,67,83
905,Huang High School,District,68,87
906,Huang High School,District,80,65
907,Huang High School,District,84,90
908,Huang High School,District,92,67
909,Huang High School,District,79,67
910,Huang High School,District,58,93
911,Huang High School,District,92,82
912,Huang High School,District,66,63
913,Huang High School,District,92,82
914,Huang High School,District,67,70
915,Huang High School,District,77,83
916,Huang High School,District,55,72
917,Huang High School,District,80,98
918,Huang High School,District,55,69
919,Huang High School,District,98,88
920,Huang High School,District,70,99
921,Huang High School,District,94,88
922,Huang High School,District,56,85
923,Huang High School,District,97,85
924,Huang High School,District,62,73
925,Huang High School,District,66,94
926,Huang High School,District,87,98
927,Huang High School,District,62,95
928,Huang High School,District,90,98
929,Huang High School,District,63,76
930,Huang High School,District,72,76
931,Huang High School,District,83,96
932,Huang High School,District,55,65
933,Huang High School,District,83,84
934,Huang High School,District,61,94
935,Huang High School,District,56,80
936,Huang High School,District,65,73
937,Huang High School,District,95,77
938,Huang High School,District,71,88
939,Huang High School,District,63,68
940,Huang High School,District,69,80
941,Huang High School,District,88,86
942,Huang High School,District,86,98
943,Huang High School,District,95,73
944,Huang High School,District,60,95
945,Huang High School,District,74,86
946,Huang High School,District,80,92
947,Huang High School,District,81,80
948,Huang High School,District,87,80
949,Huang High School,District,78,72
950,Huang High School,District,94,80
951,Huang High School,District,80,91
952,Huang High School,District,90,66
953,Huang High School,District,79,81
954,Huang High School,District,77,70
955,Huang High School,District,82,65
956,Huang High School,District,58,87
957,Huang High School,District,59,71
958,Huang High School,District,76,83
959,Huang High School,District,57,67
960,Huang High School,District,76,76
961,Huang High School,District,69,77
962,Huang High School,District,99,95
963,Huang High School,District,66,66
964,Huang High School,District,62,66
965,Huang High School,District,81,73
966,Huang High School,District,95,83
967,Huang High School,District,85,94
968,Huang High School,District,78,97
969,Huang High School,District,79,84
970,Huang High School,District,85,64
971,Huang High School,District,80,87
972,Huang High School,District,59,83
973,Huang High School,District,81,63
974,Huang High School,District,63,79
975,Huang High School,District,66,77
976,Huang High School,District,72,77
977,Huang High School,District,77,72
978,Huang High School,District,56,96
979,Huang High School,District,83,86
980,Huang High School,District,57,92
981,Huang High School,District,70,79
982,Huang High School,District,67,98
983,Huang High School,District,73,78
984,Huang High School,District,76,74
985,Huang High School,District,97,70
986,Huang High School,District,85,81
987,Huang High School,District,93,67
988,Huang High School,District,81,78
989,Huang High School,District,81,69
990,Huang High School,District,75,96
991,Huang High School,District,66,65
992,Huang High School,District,71,72
993,Huang High School,District,70,85
994,Huang High School,District,63,65
995,Huang High School,District,60,89
996,Huang High School,District,75,63
